Company Name,CIK
Affinity Gaming,1499268
Agate Island Acquisition Corp,1672886
"Agora Holdings, Inc.",1680966
AgriEuro Corp.,1605740
"Agritech Worldwide, Inc.",1052257
"AgroFresh Solutions, Inc.",1592016
"Aimmune Therapeutics, Inc.",1631650
Aina Le'a Inc.,1554923
"Air Transport Services Group, Inc.",894081
Aircastle LTD,1362988
"Akebia Therapeutics, Inc.",1517022
Akers Biosciences Inc,1321834
"Akoustis Technologies, Inc.",1584754
"Alarm.com Holdings, Inc.",1459200
Alcentra Capital Corp,1578620
"Aldeyra Therapeutics, Inc.",1341235
Aleris Corp,1518587
"Alexander & Baldwin, Inc.",1545654
Algae Dynamics Corp.,1607679
"Algodon Wines & Luxury Development Group, Inc.",1559998
Alkermes plc.,1520262
"Allegiance Bancshares, Inc.",1642081
Allegiant Travel CO,1362468
Allegion plc,1579241
Allergan plc,1578845
"Alliance HealthCare Services, Inc",817135
"Alliance Holdings GP, L.P.",1344980
"Alliance MMA, Inc.",1674227
Allied Ventures Holdings Corp.,723533
"Allied World Assurance Co Holdings, AG",1163348
"Alliqua BioMedical, Inc.",1054274
Allison Transmission Holdings Inc,1411207
Ally Financial Inc.,40729
Almost Never Films Inc.,1422768
"Alon USA Energy, Inc.",1325955
"Alon USA Partners, LP",1556766
"AlphaPoint Technology, Inc.",1473654
Alphabet Inc.,1652044
"Alphatec Holdings, Inc.",1350653
Alpine 4 Technologies Ltd.,1606698
"Alta Mesa Holdings, LP",1518403
"Altegris QIM Futures Fund, L.P.",1469317
"Altegris Winton Futures Fund, L.P.",1198415
Altisource Asset Management Corp,1555074
Altisource Portfolio Solutions S.A.,1462418
Altisource Residential Corp,1555039
Altra Industrial Motion Corp.,1374535
"Amber Road, Inc.",1314223
Ambient Water Corp,1394872
Ameren Illinois Co,18654
"Ameresco, Inc.",1488139
American Airlines Group Inc.,6201
"American Assets Trust, Inc.",1500217
"American Assets Trust, L.P.",1509570
American Campus Communities Operating Partnership LP,1357369
"American Cannabis Company, Inc.",945617
"American Capital Senior Floating, Ltd.",1581934
American Electric Technologies Inc,1043186
American Farmland Co,1474777
"American Fiber Green Products, Inc.",1009925
"American Finance Trust, Inc",1568162
American Homes 4 Rent,1562401
"American Housing Income Trust, Inc.",1433821
American Lorain CORP,1117057
"American Midstream Partners, LP",1513965
"American Railcar Industries, Inc.",1344596
"American Realty Capital Global Trust II, Inc.",1609865
"American Realty Capital Healthcare Trust III, Inc.",1609234
"American Realty Capital Hospitality Trust, Inc.",1583077
"American Realty Capital New York City REIT, Inc.",1595527
"American Renal Associates Holdings, Inc.",1498068
"American Water Works Company, Inc.",1410636
Ameris Bancorp,351569
"Amphastar Pharmaceuticals, Inc.",1297184
"Ampio Pharmaceuticals, Inc.",1411906
AmpliPhi Biosciences Corp,921114
"AmpliTech Group, Inc.",1518461
"Amplify Snack Brands, INC",1640313
"Amtrust Financial Services, Inc.",1365555
Anchor Bancorp,1448301
"Andersons, Inc.",821026
Andina Acquisition Corp. II,1652101
"Angie's List, Inc.",1491778
"Anika Therapeutics, Inc.",898437
Antero Midstream Partners LP,1598968
"Anthem, Inc.",1156039
Anthera Pharmaceuticals Inc,1316175
"AntriaBio, Inc.",1509261
Aon plc,315293
Apollo Acquisition Corp,1505367
"Apollo Commercial Real Estate Finance, Inc.",1467760
Apollo Global Management LLC,1411494
"Apollo Medical Holdings, Inc.",1083446
"Apple Hospitality REIT, Inc.",1418121
"Applied Minerals, Inc.",8328
Approach Resources Inc,1405073
"Appsoft Technologies, Inc.",1651992
Apptio Inc,1419625
Aptevo Therapeutics Inc.,1671584
"Aqua Metals, Inc.",1621832
AquaVenture Holdings Ltd,1422841
Aralez Pharmaceuticals Inc.,1660719
Arbutus Biopharma Corp,1447028
Arc Logistics Partners LP,1583744
