"ACURA PHARMACEUTICALS, INC",10-Q,786947,2015-08-03,http://www.sec.gov/Archives/edgar/data/786947/0001144204-15-045799-index.htm
ACXIOM CORP,10-Q,733269,2015-08-07,http://www.sec.gov/Archives/edgar/data/733269/0000733269-15-000031-index.htm
ADAMANT DRI PROCESSING & MINERALS GROUP,10-Q,1171008,2015-08-13,http://www.sec.gov/Archives/edgar/data/1171008/0001193805-15-001369-index.htm
"ADAMS RESOURCES & ENERGY, INC.",10-Q,2178,2015-08-07,http://www.sec.gov/Archives/edgar/data/2178/0000002178-15-000040-index.htm
"ADCARE HEALTH SYSTEMS, INC",10-Q,1004724,2015-08-13,http://www.sec.gov/Archives/edgar/data/1004724/0001004724-15-000100-index.htm
ADDVANTAGE TECHNOLOGIES GROUP INC,10-Q,874292,2015-08-11,http://www.sec.gov/Archives/edgar/data/874292/0001445260-15-000039-index.htm
ADEPT TECHNOLOGY INC,10-K,865415,2015-08-31,http://www.sec.gov/Archives/edgar/data/865415/0001193125-15-308192-index.htm
ADM TRONICS UNLIMITED INC/DE,10-K,849401,2015-07-14,http://www.sec.gov/Archives/edgar/data/849401/0001437749-15-013559-index.htm
"ADM TRONICS UNLIMITED, INC.",10-Q,849401,2015-08-14,http://www.sec.gov/Archives/edgar/data/849401/0001437749-15-015857-index.htm
"ADMA BIOLOGICS, INC.",10-Q,1368514,2015-08-11,http://www.sec.gov/Archives/edgar/data/1368514/0001193805-15-001351-index.htm
ADMIRAL FINANCIAL CORP,10-K,828530,2015-09-28,http://www.sec.gov/Archives/edgar/data/828530/0001553350-15-001026-index.htm
ADOBE SYSTEMS INC,10-Q,796343,2015-09-23,http://www.sec.gov/Archives/edgar/data/796343/0000796343-15-000188-index.htm
"ADS Waste Holdings, Inc.",10-Q,1585790,2015-08-12,http://www.sec.gov/Archives/edgar/data/1585790/0001628280-15-006548-index.htm
ADT Corp,10-Q,1546640,2015-07-29,http://www.sec.gov/Archives/edgar/data/1546640/0001546640-15-000024-index.htm
ADTRAN INC,10-Q,926282,2015-08-05,http://www.sec.gov/Archives/edgar/data/926282/0001193125-15-278444-index.htm
"ADURO BIOTECH, INC.",10-Q,1435049,2015-08-11,http://www.sec.gov/Archives/edgar/data/1435049/0001564590-15-006873-index.htm
ADVANCE AUTO PARTS INC,10-Q,1158449,2015-08-25,http://www.sec.gov/Archives/edgar/data/1158449/0001158449-15-000167-index.htm
ADVANCED CREDIT TECHNOLOGIES INC,10-Q,1437517,2015-08-14,http://www.sec.gov/Archives/edgar/data/1437517/0001010549-15-000266-index.htm
"ADVANCED DRAINAGE SYSTEMS, INC.",NT 10-Q,1604028,2015-08-17,http://www.sec.gov/Archives/edgar/data/1604028/0001193125-15-293318-index.htm
ADVANCED ENERGY INDUSTRIES INC,10-Q,927003,2015-08-06,http://www.sec.gov/Archives/edgar/data/927003/0000927003-15-000061-index.htm
ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES INC,10-Q,849706,2015-08-11,http://www.sec.gov/Archives/edgar/data/849706/0001171843-15-004563-index.htm
ADVANCED MEDICAL ISOTOPE Corp,10-Q,1449349,2015-08-19,http://www.sec.gov/Archives/edgar/data/1449349/0001415889-15-002806-index.htm
ADVANCED MEDICAL ISOTOPE Corp,NT 10-Q,1449349,2015-08-14,http://www.sec.gov/Archives/edgar/data/1449349/0001415889-15-002693-index.htm
ADVANCED MICRO DEVICES INC,10-Q,2488,2015-07-30,http://www.sec.gov/Archives/edgar/data/2488/0001628280-15-005620-index.htm
ADVANCED OXYGEN TECHNOLOGIES INC,10-K,352991,2015-09-29,http://www.sec.gov/Archives/edgar/data/352991/0000352991-15-000009-index.htm
ADVANCED OXYGEN TECHNOLOGIES INC,NT 10-K,352991,2015-09-28,http://www.sec.gov/Archives/edgar/data/352991/0000352991-15-000008-index.htm
ADVISORY BOARD CO,10-Q,1157377,2015-08-07,http://www.sec.gov/Archives/edgar/data/1157377/0001157377-15-000010-index.htm
AECOM,10-Q,868857,2015-08-12,http://www.sec.gov/Archives/edgar/data/868857/0001104659-15-058803-index.htm
AEHR TEST SYSTEMS,10-K,1040470,2015-08-31,http://www.sec.gov/Archives/edgar/data/1040470/0001354488-15-004120-index.htm
AEI INCOME & GROWTH FUND 24 LLC,10-Q,1130758,2015-08-13,http://www.sec.gov/Archives/edgar/data/1130758/0000868740-15-000064-index.htm
AEI INCOME & GROWTH FUND 25 LLC,10-Q,1185198,2015-08-13,http://www.sec.gov/Archives/edgar/data/1185198/0000868740-15-000065-index.htm
AEI INCOME & GROWTH FUND XXI LTD PARTNERSHIP,10-Q,931755,2015-08-13,http://www.sec.gov/Archives/edgar/data/931755/0000868740-15-000062-index.htm
AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,10-Q,1023458,2015-08-13,http://www.sec.gov/Archives/edgar/data/1023458/0000868740-15-000063-index.htm
AEI Income & Growth Fund 26 LLC,10-Q,1326321,2015-08-13,http://www.sec.gov/Archives/edgar/data/1326321/0000868740-15-000066-index.htm
AEI NET LEASE INCOME & GROWTH FUND XX LIMITED PARTNERSHIP,10-Q,894245,2015-08-13,http://www.sec.gov/Archives/edgar/data/894245/0000868740-15-000061-index.htm
"AEMETIS, INC",10-Q,738214,2015-08-07,http://www.sec.gov/Archives/edgar/data/738214/0001354488-15-003631-index.htm
"AEOLUS PHARMACEUTICALS, INC.",10-Q,1261734,2015-08-14,http://www.sec.gov/Archives/edgar/data/1261734/0001102624-15-001314-index.htm
AEP INDUSTRIES INC,10-Q,785787,2015-09-09,http://www.sec.gov/Archives/edgar/data/785787/0001193125-15-315705-index.htm
AERIE PHARMACEUTICALS INC,10-Q,1337553,2015-08-06,http://www.sec.gov/Archives/edgar/data/1337553/0001628280-15-006174-index.htm
AEROCENTURY CORP,10-Q,1036848,2015-08-14,http://www.sec.gov/Archives/edgar/data/1036848/0001036848-15-000058-index.htm
"AEROHIVE NETWORKS, INC",10-Q,1372414,2015-08-12,http://www.sec.gov/Archives/edgar/data/1372414/0001372414-15-000002-index.htm
"AEROJET ROCKETDYNE HOLDINGS, INC.",10-Q,40888,2015-07-10,http://www.sec.gov/Archives/edgar/data/40888/0000040888-15-000018-index.htm
AEROPOSTALE INC,10-Q,1168213,2015-09-08,http://www.sec.gov/Archives/edgar/data/1168213/0001168213-15-000068-index.htm
AES CORP,10-Q,874761,2015-08-10,http://www.sec.gov/Archives/edgar/data/874761/0000874761-15-000054-index.htm
AETHLON MEDICAL INC,10-K/A,882291,2015-07-13,http://www.sec.gov/Archives/edgar/data/882291/0001019687-15-002700-index.htm
AETHLON MEDICAL INC,10-Q,882291,2015-08-13,http://www.sec.gov/Archives/edgar/data/882291/0001019687-15-003101-index.htm
AETNA INC /PA/,10-Q,1122304,2015-08-04,http://www.sec.gov/Archives/edgar/data/1122304/0001122304-15-000131-index.htm
AF OCEAN INVESTMENT MANAGEMENT Co,10-Q,1501489,2015-08-14,http://www.sec.gov/Archives/edgar/data/1501489/0001557240-15-000599-index.htm
"AFFILIATED MANAGERS GROUP, INC.",10-Q,1004434,2015-08-04,http://www.sec.gov/Archives/edgar/data/1004434/0001004434-15-000016-index.htm
AFFIRMATIVE INSURANCE HOLDINGS INC,NT 10-Q,1282543,2015-08-17,http://www.sec.gov/Archives/edgar/data/1282543/0001564590-15-007463-index.htm
AFFYMETRIX INC,10-Q,913077,2015-07-30,http://www.sec.gov/Archives/edgar/data/913077/0000913077-15-000024-index.htm
"AFH ACQUISITION V, INC.",10-Q,1420033,2015-09-14,http://www.sec.gov/Archives/edgar/data/1420033/0001607062-15-000410-index.htm
"AFH ACQUISITION VI, INC.",10-Q,1420034,2015-09-14,http://www.sec.gov/Archives/edgar/data/1420034/0001607062-15-000411-index.htm
"AFH ACQUISITION VII, INC.",10-Q,1420035,2015-09-14,http://www.sec.gov/Archives/edgar/data/1420035/0001607062-15-000413-index.htm
"AFH ACQUISITION XI, INC.",10-Q,1419553,2015-09-14,http://www.sec.gov/Archives/edgar/data/1419553/0001607062-15-000417-index.htm
"AFH ACQUISITION XII, INC.",10-Q,1419552,2015-09-14,http://www.sec.gov/Archives/edgar/data/1419552/0001607062-15-000418-index.htm
"AFH Acquisition IX, Inc.",10-Q,1419556,2015-09-14,http://www.sec.gov/Archives/edgar/data/1419556/0001607062-15-000415-index.htm
"AFH Acquisition VIII, Inc.",10-Q,1419560,2015-09-14,http://www.sec.gov/Archives/edgar/data/1419560/0001607062-15-000414-index.htm
AFLAC INC,10-Q,4977,2015-08-04,http://www.sec.gov/Archives/edgar/data/4977/0000004977-15-000142-index.htm
"AFTERMASTER, INC.",10-K,836809,2015-09-28,http://www.sec.gov/Archives/edgar/data/836809/0001199835-15-000451-index.htm
"AG Mortgage Investment Trust, Inc.",10-Q,1514281,2015-08-06,http://www.sec.gov/Archives/edgar/data/1514281/0001144204-15-046795-index.htm
AG&E HOLDINGS INC.,10-Q,105608,2015-08-13,http://www.sec.gov/Archives/edgar/data/105608/0001437749-15-015705-index.htm
AGCO CORP /DE,10-Q,880266,2015-08-07,http://www.sec.gov/Archives/edgar/data/880266/0000880266-15-000029-index.htm
AGENUS INC,10-Q,1098972,2015-08-03,http://www.sec.gov/Archives/edgar/data/1098972/0001628280-15-005960-index.htm
AGILE THERAPEUTICS INC,10-Q,1261249,2015-08-13,http://www.sec.gov/Archives/edgar/data/1261249/0001104659-15-059584-index.htm
AGILENT TECHNOLOGIES INC,10-Q,1090872,2015-09-02,http://www.sec.gov/Archives/edgar/data/1090872/0001090872-15-000039-index.htm
AGILYSYS INC,10-K/A,78749,2015-07-30,http://www.sec.gov/Archives/edgar/data/78749/0000078749-15-000025-index.htm
AGILYSYS INC,10-Q,78749,2015-08-06,http://www.sec.gov/Archives/edgar/data/78749/0000078749-15-000032-index.htm
AGIOS PHARMACEUTICALS INC,10-Q,1439222,2015-08-07,http://www.sec.gov/Archives/edgar/data/1439222/0001193125-15-283076-index.htm
AGL RESOURCES INC,10-Q,1004155,2015-07-29,http://www.sec.gov/Archives/edgar/data/1004155/0001004155-15-000045-index.htm
AGREE REALTY CORP,10-Q,917251,2015-07-31,http://www.sec.gov/Archives/edgar/data/917251/0001144204-15-045492-index.htm
"AGRITEK HOLDINGS, INC.",10-K/A,1040850,2015-09-22,http://www.sec.gov/Archives/edgar/data/1040850/0001554795-15-000385-index.htm
"AGRITEK HOLDINGS, INC.",10-Q,1040850,2015-08-14,http://www.sec.gov/Archives/edgar/data/1040850/0001554795-15-000337-index.htm
"AI DOCUMENT SERVICES, INC.",10-Q,1402536,2015-08-20,http://www.sec.gov/Archives/edgar/data/1402536/0001078782-15-001385-index.htm
"AI DOCUMENT SERVICES, INC.",NT 10-Q,1402536,2015-08-17,http://www.sec.gov/Archives/edgar/data/1402536/0001078782-15-001329-index.htm
AIMCO PROPERTIES L.P.,10-Q,926660,2015-07-31,http://www.sec.gov/Archives/edgar/data/926660/0000922864-15-000033-index.htm
AIR INDUSTRIES GROUP,10-Q,1009891,2015-08-12,http://www.sec.gov/Archives/edgar/data/1009891/0001193805-15-001361-index.htm
AIR LEASE CORP,10-Q,1487712,2015-08-06,http://www.sec.gov/Archives/edgar/data/1487712/0001104659-15-057147-index.htm
AIR METHODS CORP,10-Q,816159,2015-08-07,http://www.sec.gov/Archives/edgar/data/816159/0001571049-15-006376-index.htm
AIR PRODUCTS & CHEMICALS INC /DE/,10-Q,2969,2015-07-30,http://www.sec.gov/Archives/edgar/data/2969/0001193125-15-270231-index.htm
AIR T INC,10-Q,353184,2015-08-05,http://www.sec.gov/Archives/edgar/data/353184/0001437749-15-014780-index.htm
AIRGAS INC,10-Q,804212,2015-08-05,http://www.sec.gov/Archives/edgar/data/804212/0000804212-15-000029-index.htm
AIRWARE LABS CORP.,10-Q,1500123,2015-08-12,http://www.sec.gov/Archives/edgar/data/1500123/0001554795-15-000315-index.htm
AIS FUTURES FUND IV LP,10-Q,1023453,2015-08-12,http://www.sec.gov/Archives/edgar/data/1023453/0001144204-15-048511-index.htm
AJ GREENTECH HOLDINGS.,10-Q,1394108,2015-08-13,http://www.sec.gov/Archives/edgar/data/1394108/0001554795-15-000319-index.htm
"AJS Bancorp, Inc.",10-Q,1576336,2015-08-13,http://www.sec.gov/Archives/edgar/data/1576336/0001104659-15-059597-index.htm
AK STEEL HOLDING CORP,10-Q,918160,2015-08-03,http://www.sec.gov/Archives/edgar/data/918160/0000918160-15-000052-index.htm
AKAMAI TECHNOLOGIES INC,10-Q,1086222,2015-08-10,http://www.sec.gov/Archives/edgar/data/1086222/0001086222-15-000161-index.htm
AKORN INC,NT 10-Q,3116,2015-08-10,http://www.sec.gov/Archives/edgar/data/3116/0001171843-15-004517-index.htm
ALABAMA GAS CORP,10-Q,3146,2015-08-05,http://www.sec.gov/Archives/edgar/data/3146/0001126956-15-000070-index.htm
ALABAMA POWER CO,10-Q,3153,2015-08-05,http://www.sec.gov/Archives/edgar/data/3153/0000092122-15-000066-index.htm
ALADDIN INTERNATIONAL INC /MN/,10-K,921560,2015-09-25,http://www.sec.gov/Archives/edgar/data/921560/0001553350-15-001011-index.htm
ALAMO GROUP INC,10-Q,897077,2015-08-07,http://www.sec.gov/Archives/edgar/data/897077/0000897077-15-000068-index.htm
ALAMOGORDO FINANCIAL CORP,10-Q,1100542,2015-07-30,http://www.sec.gov/Archives/edgar/data/1100542/0001144204-15-045215-index.htm
ALANCO TECHNOLOGIES INC,10-K,98618,2015-09-28,http://www.sec.gov/Archives/edgar/data/98618/0000098618-15-000011-index.htm
"ALASKA AIR GROUP, INC.",10-Q,766421,2015-08-05,http://www.sec.gov/Archives/edgar/data/766421/0000766421-15-000035-index.htm
ALASKA COMMUNICATIONS SYSTEMS GROUP INC,10-Q,1089511,2015-08-10,http://www.sec.gov/Archives/edgar/data/1089511/0001193125-15-284452-index.htm
ALBANY INTERNATIONAL CORP /DE/,10-Q,819793,2015-08-05,http://www.sec.gov/Archives/edgar/data/819793/0000891092-15-006906-index.htm
ALBANY MOLECULAR RESEARCH INC,10-Q,1065087,2015-08-07,http://www.sec.gov/Archives/edgar/data/1065087/0001144204-15-047337-index.htm
ALBEMARLE CORP,10-Q,915913,2015-08-07,http://www.sec.gov/Archives/edgar/data/915913/0000915913-15-000027-index.htm
"ALBERO, CORP.",10-Q,1623590,2015-09-09,http://www.sec.gov/Archives/edgar/data/1623590/0001623590-15-000012-index.htm
